Mercado,Produto,Preço Varejo (R$),ICMS (%),ICMS (R$),PIS (%),PIS (R$),COFINS (%),COFINS (R$),IPI (%),IPI (R$),Total Tributos (R$),Preço Líquido (R$)
CELEIRO CENTRO,Óleo comigo,6.0,7.00%,0.42,1.650%,0.1,7.60%,0.46,0.00%,0.0,0.97,5.03
CELEIRO CENTRO,Óleo vitaliv,7.0,7.00%,0.49,1.650%,0.12,7.60%,0.53,0.00%,0.0,1.14,5.86
CELEIRO CENTRO,Óleo brasileiro,6.0,7.00%,0.42,1.650%,0.1,7.60%,0.46,0.00%,0.0,0.97,5.03
CELEIRO CENTRO,Óleo vila velha,6.0,7.00%,0.42,1.650%,0.1,7.60%,0.46,0.00%,0.0,0.97,5.03
CELEIRO CENTRO,Sal cristal,3.0,7.00%,0.21,1.650%,0.05,7.60%,0.23,0.00%,0.0,0.49,2.51
CELEIRO CENTRO,Sal moc,3.0,7.00%,0.21,1.650%,0.05,7.60%,0.23,0.00%,0.0,0.49,2.51
CELEIRO CENTRO,Sal cisne,4.0,7.00%,0.28,1.650%,0.07,7.60%,0.3,0.00%,0.0,0.65,3.35
CELEIRO CENTRO,Sal uniouro,2.0,7.00%,0.14,1.650%,0.03,7.60%,0.15,0.00%,0.0,0.33,1.68
CELEIRO CENTRO,Feijão preto grão dourado,7.0,7.00%,0.49,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.49,6.51
CELEIRO CENTRO,Feijão preto catalão,9.0,7.00%,0.63,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.63,8.37
CELEIRO CENTRO,Feijão preto Vasconcelos,9.0,7.00%,0.63,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.63,8.37
CELEIRO CENTRO,Feijão preto filetto,7.0,7.00%,0.49,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.49,6.51
CELEIRO CENTRO,Farinha de trigo sotrigo,4.0,7.00%,0.28,0.165%,0.01,0.76%,0.03,0.00%,0.0,0.32,3.68
CELEIRO CENTRO,Farinha de trigo cristal,4.0,7.00%,0.28,0.165%,0.01,0.76%,0.03,0.00%,0.0,0.32,3.68
CELEIRO CENTRO,Farinha de trigo cristal - emegê,4.0,7.00%,0.28,0.165%,0.01,0.76%,0.03,0.00%,0.0,0.32,3.68
CELEIRO CENTRO,Farinha de trigo Araguaia,3.0,7.00%,0.21,0.165%,0.0,0.76%,0.02,0.00%,0.0,0.24,2.76
CELEIRO CENTRO,Macarrão espaguete cristal,8.0,7.00%,0.56,1.650%,0.13,7.60%,0.61,0.00%,0.0,1.3,6.7
CELEIRO CENTRO,Macarrão espaguete Califórnia,7.0,7.00%,0.49,1.650%,0.12,7.60%,0.53,0.00%,0.0,1.14,5.86
CELEIRO CENTRO,Macarrão parafuso Califórnia,3.0,7.00%,0.21,1.650%,0.05,7.60%,0.23,0.00%,0.0,0.49,2.51
CELEIRO CENTRO,Macarrão parafuso safra,3.0,7.00%,0.21,1.650%,0.05,7.60%,0.23,0.00%,0.0,0.49,2.51
CELEIRO CENTRO,Sazón,5.0,19.00%,0.95,1.650%,0.08,7.60%,0.38,0.00%,0.0,1.41,3.59
CELEIRO CENTRO,Extrato goiali,3.0,19.00%,0.57,1.650%,0.05,7.60%,0.23,0.00%,0.0,0.85,2.15
CELEIRO CENTRO,Extrato olé,2.0,19.00%,0.38,1.650%,0.03,7.60%,0.15,0.00%,0.0,0.57,1.44
CELEIRO CENTRO,Extrato Dez,3.0,19.00%,0.57,1.650%,0.05,7.60%,0.23,0.00%,0.0,0.85,2.15
CELEIRO CENTRO,Bolacha rosquinha adoralle,7.0,19.00%,1.33,1.650%,0.12,7.60%,0.53,0.00%,0.0,1.98,5.02
CELEIRO CENTRO,Bolacha rosquinha Mabel,8.0,19.00%,1.52,1.650%,0.13,7.60%,0.61,0.00%,0.0,2.26,5.74
CELEIRO CENTRO,Bolacha rosquinha emegê,5.0,19.00%,0.95,1.650%,0.08,7.60%,0.38,0.00%,0.0,1.41,3.59
CELEIRO CENTRO,Bolacha rosquinha rancheiro,5.0,19.00%,0.95,1.650%,0.08,7.60%,0.38,0.00%,0.0,1.41,3.59
CELEIRO CENTRO,Bolacha cream crack Mabel,6.0,19.00%,1.14,1.650%,0.1,7.60%,0.46,0.00%,0.0,1.7,4.3
CELEIRO CENTRO,Bolacha cream crack adoralle,5.0,19.00%,0.95,1.650%,0.08,7.60%,0.38,0.00%,0.0,1.41,3.59
CELEIRO CENTRO,Bolacha cream crack Vitarella,8.0,19.00%,1.52,1.650%,0.13,7.60%,0.61,0.00%,0.0,2.26,5.74
CELEIRO CENTRO,Toddy 200g,7.0,19.00%,1.33,1.650%,0.12,7.60%,0.53,0.00%,0.0,1.98,5.02
CELEIRO CENTRO,Nescau 200g,7.0,19.00%,1.33,1.650%,0.12,7.60%,0.53,0.00%,0.0,1.98,5.02
CELEIRO CENTRO,Leite condenado italac,6.0,19.00%,1.14,1.650%,0.1,7.60%,0.46,0.00%,0.0,1.7,4.3
CELEIRO CENTRO,Leite condenado Piracanjuba,6.0,19.00%,1.14,1.650%,0.1,7.60%,0.46,0.00%,0.0,1.7,4.3
CELEIRO CENTRO,Leite condenado mococa,6.0,19.00%,1.14,1.650%,0.1,7.60%,0.46,0.00%,0.0,1.7,4.3
CELEIRO CENTRO,Creme de leite italac,3.0,7.00%,0.21,1.650%,0.05,7.60%,0.23,0.00%,0.0,0.49,2.51
CELEIRO CENTRO,Creme de leite Nestle,6.0,19.00%,1.14,1.650%,0.1,7.60%,0.46,0.00%,0.0,1.7,4.3
CELEIRO CENTRO,Creme de leite Piracanjuba,3.0,7.00%,0.21,1.650%,0.05,7.60%,0.23,0.00%,0.0,0.49,2.51
CELEIRO CENTRO,Café gigante,19.0,7.00%,1.33,1.650%,0.31,7.60%,1.44,0.00%,0.0,3.09,15.91
CELEIRO CENTRO,Café pirâmide,20.0,7.00%,1.4,1.650%,0.33,7.60%,1.52,0.00%,0.0,3.25,16.75
CELEIRO CENTRO,Café coringa,21.0,7.00%,1.47,1.650%,0.35,7.60%,1.6,0.00%,0.0,3.41,17.59
CELEIRO CENTRO,Leite Piracanjuba,5.0,7.00%,0.35,1.650%,0.08,7.60%,0.38,0.00%,0.0,0.81,4.19
CELEIRO CENTRO,Leite bonolat,4.0,7.00%,0.28,1.650%,0.07,7.60%,0.3,0.00%,0.0,0.65,3.35
CELEIRO CENTRO,Leite compleite,5.0,7.00%,0.35,1.650%,0.08,7.60%,0.38,0.00%,0.0,0.81,4.19
CELEIRO CENTRO,Pão de forma Pullman,9.0,19.00%,1.71,1.650%,0.15,7.60%,0.68,0.00%,0.0,2.54,6.46
CELEIRO CENTRO,Pão de forma sevenboys,9.0,19.00%,1.71,1.650%,0.15,7.60%,0.68,0.00%,0.0,2.54,6.46
CELEIRO CENTRO,Pão de forma vilão pao,8.0,19.00%,1.52,1.650%,0.13,7.60%,0.61,0.00%,0.0,2.26,5.74
CELEIRO CENTRO,Tomate,11.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,11.0
CELEIRO CENTRO,Cenoura,5.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,5.0
CELEIRO CENTRO,Batata,6.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,6.0
CELEIRO CENTRO,Cebola,4.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,4.0
CELEIRO CENTRO,Alho,4.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,4.0
CELEIRO CENTRO,Alface,3.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,3.0
CELEIRO CENTRO,Batata doce,4.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,4.0
CELEIRO CENTRO,Repolho,3.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,3.0
CELEIRO CENTRO,Laranja,7.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,7.0
CELEIRO CENTRO,Banana nanica,4.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,4.0
CELEIRO CENTRO,Banana prata,6.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,6.0
CELEIRO CENTRO,Banana maçã,7.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,7.0
CELEIRO CENTRO,Banana terra,7.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,7.0
CELEIRO CENTRO,Maçã fala,13.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,13.0
CELEIRO CENTRO,Limão,3.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,3.0
CELEIRO CENTRO,Ovo branco,18.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,18.0
CELEIRO CENTRO,Ovo caipira,24.0,0.00%,0.0,0.000%,0.0,0.00%,0.0,0.00%,0.0,0.0,24.0
CELEIRO CENTRO,Cerveja amstel,3.0,21.00%,0.63,1.650%,0.05,7.60%,0.23,15.00%,0.45,1.36,1.64
